id,message,urgency_level,urgency_score,service_type,timestamp
1500,"My husband got stung by a wasp 30 minutes ago and his arm has really swollen up a lot, he's had allergic reactions before but never this strong, he says it's hard to swallow",moderate,2,On-call doctor,2025-09-26T23:38:33.527Z
1501,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Local police,2025-09-18T15:10:14.247Z
1502,"My husband has had terrible chest pain for 30 minutes, he's sweating a lot, he says it feels like a huge weight on his chest, he's 55 and has a heart condition",urgent,3,Police,2025-09-15T11:29:33.173Z
1503,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Medical advice,2025-10-08T02:02:46.357Z
1504,"I have a tooth that broke while eating, it hurts a lot, I can't close my mouth properly and I feel a piece moving, it's the weekend and my dentist isn't reachable",moderate,2,On-call doctor,2025-10-03T18:37:32.935Z
1505,"There's an aggressive stray cat that came into my yard, it's growling and hissing, I'm afraid it might be rabid and my children want to go out and play, I don't know how to make it leave",moderate,2,Fire Department,2025-10-06T13:01:19.362Z
1506,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,Fire Department,2025-09-17T05:59:59.172Z
1507,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Medical advice,2025-10-08T22:00:29.003Z
1508,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,On-call doctor,2025-10-05T15:28:00.684Z
1509,"My neighbor is shooting with a firearm in the apartment next door, I hear gunshots and screams, I'm barricaded in my bathroom with my kids, we're really scared",critical,4,Police,2025-10-02T15:16:32.241Z
1510,"I have a tooth that broke while eating, it hurts a lot, I can't close my mouth properly and I feel a piece moving, it's the weekend and my dentist isn't reachable",moderate,2,On-call doctor,2025-09-23T20:50:37.847Z
1511,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,Fire Department,2025-09-13T01:19:30.557Z
1512,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,Police,2025-09-27T15:25:02.666Z
1513,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Police,2025-09-30T22:49:52.942Z
1514,"My husband has had terrible chest pain for 30 minutes, he's sweating a lot, he says it feels like a huge weight on his chest, he's 55 and has a heart condition",urgent,3,EMS,2025-10-08T00:43:56.681Z
1515,"I've just been stabbed in the stomach during an assault at 34 Oak Street, I'm bleeding heavily, blood is flowing on my hands, I'm starting to feel dizzy, I think I'm going to fall",critical,4,EMS,2025-09-16T07:53:32.311Z
1516,"Hi, I made some homemade cookies yesterday and they came out perfectly, the house smelled amazing",none,0,N/A,2025-09-19T10:42:45.328Z
1517,"My dog just bit someone walking past the house, the person is bleeding at the leg level, it's not very deep but there are teeth marks",moderate,2,On-call doctor,2025-09-21T00:06:17.318Z
1518,"My 5-year-old daughter has had a fever that won't go down for 48 hours, she's at 39.5°C even after paracetamol, she complains of headaches and sleeps a lot",moderate,2,On-call doctor,2025-09-25T09:22:57.101Z
1519,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,Police,2025-09-16T12:03:40.159Z
1520,"My mother is having a heart attack, she has severe chest pain, she says she can't feel her left arm, she's in cold sweat and having trouble breathing, she's about to lose consciousness",critical,4,Police,2025-10-01T21:11:25.144Z
1521,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Police,2025-09-22T03:06:26.989Z
1522,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,On-call doctor,2025-10-08T08:13:12.002Z
1523,"I'm calling to say that my neighbor's cat came to visit me this afternoon, she's so friendly and I gave her some treats",none,0,N/A,2025-09-12T12:08:26.462Z
1524,"This is an absolute emergency! My 4-year-old son just fell into the pool, I pulled him out but he's not breathing, water is coming out of his mouth, I don't know what to do, help me!",critical,4,EMS,2025-10-07T22:48:29.251Z
1525,"I've had severe stomach pain since this morning, I've vomited several times and have diarrhea, I think it's food poisoning, I ate seafood last night",moderate,2,Fire Department,2025-09-29T00:12:08.890Z
1526,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,Police,2025-09-27T22:09:44.226Z
1527,"My grandmother is having a stroke I think, she can't speak properly anymore, one whole side of her face is paralyzed and her left arm is completely limp, she's 82",urgent,3,Police,2025-09-29T02:50:29.883Z
1528,"My 5-year-old daughter has had a fever that won't go down for 48 hours, she's at 39.5°C even after paracetamol, she complains of headaches and sleeps a lot",moderate,2,Fire Department,2025-09-24T05:02:11.110Z
1529,"I think my teenage son overdosed, I found him in his room in a weird state, his pupils are huge, he's delirious and vomiting, I found suspicious bags",urgent,3,EMS,2025-09-14T16:18:11.951Z
1530,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,N/A,2025-10-08T07:06:45.780Z
1531,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,On-call doctor,2025-10-07T03:03:15.358Z
1532,"There's a violent fight at the bottom of my building, I see from the window that there are at least 5 people fighting with baseball bats, there are already several on the ground not moving",urgent,3,EMS,2025-09-30T04:52:39.629Z
1533,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Local police,2025-10-10T01:14:03.956Z
1534,"Please come quickly, my husband just collapsed in front of me, he's not breathing, his mouth is blue, I tried to shake him but he doesn't react at all, I don't know how to do CPR!",critical,4,Fire Department,2025-09-16T15:50:28.118Z
1535,"Hi, I'm just calling to let you know I saw a beautiful sunset today while walking my dog in the park, it was really peaceful",none,0,N/A,2025-10-01T01:16:59.251Z
1536,"There's a violent fight at the bottom of my building, I see from the window that there are at least 5 people fighting with baseball bats, there are already several on the ground not moving",urgent,3,Police,2025-09-20T16:31:13.120Z
1537,"I just had a motorcycle accident on Route 66 near Phoenix, I'm conscious but my right leg hurts a lot, I think it's broken, there's blood and my helmet is cracked, I'm on the side of the road",urgent,3,Fire Department,2025-09-30T21:03:12.369Z
1538,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Medical advice,2025-10-01T23:53:57.695Z
1539,"There was an explosion in my building at train station, I'm in the basement, there's debris everywhere, I'm trapped under a beam and my leg hurts badly, I think it's broken, I can feel blood flowing",critical,4,EMS,2025-09-30T19:21:24.382Z
1540,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Fire Department,2025-10-07T12:09:01.746Z
1541,"I spilled a pot of boiling oil on myself while cooking, I have burns all over my chest and arms, skin is peeling off, I'm in so much pain I can't think straight",critical,4,Police,2025-10-04T12:03:04.926Z
1542,"There's been a collapse at the construction site where I work, several workers are buried under the rubble, we hear screams, there's dust everywhere and we can't see anything",critical,4,EMS,2025-10-05T02:51:09.790Z
1543,"Hello, I wanted to share that I finally finished reading that book I started last month, it was quite interesting",none,0,General info,2025-10-04T13:33:04.978Z
1544,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,N/A,2025-09-18T03:32:44.334Z
1545,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Local police,2025-10-05T15:57:05.056Z
1546,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,Community line,2025-09-21T19:45:20.729Z
1547,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Local police,2025-09-26T22:31:02.989Z
1548,"My neighbor is shooting with a firearm in the apartment next door, I hear gunshots and screams, I'm barricaded in my bathroom with my kids, we're really scared",critical,4,EMS,2025-09-26T09:21:46.154Z
1549,"My mother is having a heart attack, she has severe chest pain, she says she can't feel her left arm, she's in cold sweat and having trouble breathing, she's about to lose consciousness",critical,4,Fire Department,2025-10-05T18:42:21.250Z
1550,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,On-call doctor,2025-09-30T22:41:08.487Z
1551,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Local police,2025-09-11T19:21:16.693Z
1552,"My grandmother is having a stroke I think, she can't speak properly anymore, one whole side of her face is paralyzed and her left arm is completely limp, she's 82",urgent,3,EMS,2025-09-23T17:38:25.611Z
1553,"I'm 7 months pregnant and I just slipped on the stairs, I fell on my stomach, I have severe lower abdominal pain and I think I'm bleeding a little, I feel the baby isn't moving like before",urgent,3,EMS,2025-09-25T07:01:52.562Z
1554,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,Police,2025-09-24T20:06:01.367Z
1555,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,N/A,2025-09-14T09:07:41.249Z
1556,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,Police,2025-10-01T05:45:37.662Z
1557,"There's a fire starting in my kitchen, I tried to extinguish it with water but it's getting worse, there's a lot of black smoke coming from the oven, I evacuated my children but I don't know if I should stay",urgent,3,Fire Department,2025-09-19T13:11:13.932Z
1558,"I think my teenage son overdosed, I found him in his room in a weird state, his pupils are huge, he's delirious and vomiting, I found suspicious bags",urgent,3,Fire Department,2025-09-27T16:52:07.356Z
1559,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,Fire Department,2025-09-14T22:29:22.407Z
1560,"Hello, I cut myself opening a can an hour ago, I put a bandage on but it's still bleeding a bit through it, the cut is about 3 cm on my thumb, I'm wondering if I need stitches",moderate,2,On-call doctor,2025-09-16T13:12:16.390Z
1561,"Just calling to say I organized my closet this afternoon and found some clothes I forgot I had, it was like shopping in my own home",none,0,Community line,2025-09-14T03:22:42.967Z
1562,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,General info,2025-09-24T20:33:32.094Z
1563,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Health hotline,2025-10-08T15:51:22.045Z
1564,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,N/A,2025-09-22T00:52:14.201Z
1565,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Health hotline,2025-09-16T09:59:14.231Z
1566,"My dog just bit someone walking past the house, the person is bleeding at the leg level, it's not very deep but there are teeth marks",moderate,2,Fire Department,2025-09-23T06:04:24.442Z
1567,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,Police,2025-09-22T04:04:03.184Z
1568,"I'm locked in my apartment and my ex-partner is forcing the door with a crowbar, he's screaming that he's going to kill me, I hear the door giving way, I'm alone with my baby",critical,4,Fire Department,2025-09-30T08:37:45.577Z
1569,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,N/A,2025-09-16T07:18:21.416Z
1570,"Please come quickly, my husband just collapsed in front of me, he's not breathing, his mouth is blue, I tried to shake him but he doesn't react at all, I don't know how to do CPR!",critical,4,Police,2025-09-14T18:20:50.174Z
1571,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,Police,2025-10-08T19:20:25.235Z
1572,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,Police,2025-09-11T06:37:27.429Z
1573,"I think my teenage son overdosed, I found him in his room in a weird state, his pupils are huge, he's delirious and vomiting, I found suspicious bags",urgent,3,Police,2025-10-06T02:44:55.971Z
1574,"I haven't been able to sleep for several nights, I wake up often and have trouble falling back asleep, I don't want to take sleeping pills but I'm exhausted",low,1,Medical advice,2025-10-10T10:14:51.081Z
1575,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,Fire Department,2025-10-01T17:01:07.683Z
1576,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,Fire Department,2025-09-27T22:54:10.048Z
1577,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,General info,2025-10-07T14:49:56.989Z
1578,"I'm calling to say that my neighbor's cat came to visit me this afternoon, she's so friendly and I gave her some treats",none,0,General info,2025-09-30T20:26:16.202Z
1579,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,General info,2025-09-12T06:16:16.439Z
1580,"My neighbor is shooting with a firearm in the apartment next door, I hear gunshots and screams, I'm barricaded in my bathroom with my kids, we're really scared",critical,4,EMS,2025-09-29T21:23:35.169Z
1581,"My dog just bit someone walking past the house, the person is bleeding at the leg level, it's not very deep but there are teeth marks",moderate,2,Police,2025-09-14T15:47:00.643Z
1582,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Medical advice,2025-09-26T20:34:52.048Z
1583,"There's a burglary in progress at my neighbor's house, I hear noise and voices, I see shadows with flashlights through the window, I think there are several of them",urgent,3,Fire Department,2025-10-08T12:08:36.843Z
1584,"There's an aggressive stray cat that came into my yard, it's growling and hissing, I'm afraid it might be rabid and my children want to go out and play, I don't know how to make it leave",moderate,2,Police,2025-10-01T06:15:27.350Z
1585,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,Police,2025-09-29T17:45:29.070Z
1586,"I'm calling to say that my neighbor's cat came to visit me this afternoon, she's so friendly and I gave her some treats",none,0,N/A,2025-10-05T17:40:17.872Z
1587,"There's a violent fight at the bottom of my building, I see from the window that there are at least 5 people fighting with baseball bats, there are already several on the ground not moving",urgent,3,EMS,2025-09-11T23:17:51.802Z
1588,"I've just been stabbed in the stomach during an assault at underground parking, I'm bleeding heavily, blood is flowing on my hands, I'm starting to feel dizzy, I think I'm going to fall",critical,4,EMS,2025-09-13T19:00:45.079Z
1589,"I'm witnessing a serious accident on Highway I-95, a car hit a truck head-on, there's blood everywhere, the driver isn't moving, the windshield is shattered and there's gasoline leaking",critical,4,Fire Department,2025-09-23T05:28:18.152Z
1590,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,Fire Department,2025-09-27T01:54:25.828Z
1591,"My colleague just had a medical emergency at work, he suddenly fainted during the meeting, he fell backwards and hit his head against the wall, he's not waking up",urgent,3,EMS,2025-09-29T06:11:57.022Z
1592,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Health hotline,2025-09-28T16:48:08.455Z
1593,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,Fire Department,2025-09-24T00:06:26.237Z
1594,"Hello, I reconnected with an old friend on social media today, it was nice to catch up after all these years",none,0,Community line,2025-09-23T17:11:06.859Z
1595,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,General info,2025-10-06T15:43:01.216Z
1596,"There's a burglary in progress at my neighbor's house, I hear noise and voices, I see shadows with flashlights through the window, I think there are several of them",urgent,3,Police,2025-09-16T04:17:35.710Z
1597,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,Police,2025-10-05T23:41:29.069Z
1598,"There's a fire starting in my kitchen, I tried to extinguish it with water but it's getting worse, there's a lot of black smoke coming from the oven, I evacuated my children but I don't know if I should stay",urgent,3,EMS,2025-09-28T18:28:01.261Z
1599,"Hello, I'm calling for medical advice, I've had a sore throat for 3 days and it's not getting better with the lozenges I took, I'm coughing a bit too, should I see a doctor?",low,1,Health hotline,2025-09-17T20:54:56.662Z
1600,"Just calling to say I organized my closet this afternoon and found some clothes I forgot I had, it was like shopping in my own home",none,0,General info,2025-09-23T09:11:13.212Z
1601,"Just wanted to mention that I tried a new recipe for dinner tonight and it turned out pretty good, the family enjoyed it",none,0,N/A,2025-09-19T13:34:51.681Z
1602,"Hello, I wanted to share that I finally finished reading that book I started last month, it was quite interesting",none,0,N/A,2025-09-29T10:47:38.531Z
1603,"Hello, I'm calling about my 78-year-old mother, she fell down the stairs 20 minutes ago, she's in a lot of pain in her hip and can't get up, she's conscious but moaning in pain",urgent,3,EMS,2025-10-07T17:52:23.345Z
1604,"There was an explosion in my building at Maple neighborhood, I'm in the basement, there's debris everywhere, I'm trapped under a beam and my leg hurts badly, I think it's broken, I can feel blood flowing",critical,4,Police,2025-09-21T08:34:30.744Z
1605,"I'm reaching out to tell you about the nice conversation I had with the mailman today, he's such a pleasant person",none,0,N/A,2025-10-02T15:11:34.901Z
1606,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,Fire Department,2025-09-22T02:41:23.238Z
1607,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Medical advice,2025-10-09T14:53:22.798Z
1608,"My teenage son swallowed all the medications from the medicine cabinet, I just found him unconscious in his room with the empty boxes next to him, he's barely breathing",critical,4,Police,2025-10-09T13:36:09.962Z
1609,"Hello, the weather has been really nice lately, I've been able to open the windows and let fresh air in",none,0,General info,2025-09-20T06:36:07.390Z
1610,"Hello, I found a really good parking spot at the grocery store today on my first try, which never happens",none,0,General info,2025-10-02T15:10:46.403Z
1611,"I think my teenage son overdosed, I found him in his room in a weird state, his pupils are huge, he's delirious and vomiting, I found suspicious bags",urgent,3,EMS,2025-09-27T15:54:31.136Z
1612,"My 15-year-old daughter is having a severe asthma attack, she used her inhaler three times but it's not getting better, she can barely speak because she's suffocating so much, her lips are starting to turn blue",urgent,3,Fire Department,2025-09-26T14:54:25.420Z
1613,"My 8-year-old son fell off his bike, he twisted his ankle and it swelled up pretty quickly, he has trouble putting his foot down, I don't know if it's a sprain or a fracture",moderate,2,On-call doctor,2025-09-20T09:50:26.193Z
1614,"I haven't been able to sleep for several nights, I wake up often and have trouble falling back asleep, I don't want to take sleeping pills but I'm exhausted",low,1,Medical advice,2025-09-16T02:11:13.849Z
1615,"Hello, I found a really good parking spot at the grocery store today on my first try, which never happens",none,0,N/A,2025-09-29T13:20:42.971Z
1616,"My neighbors have been making a lot of noise since midnight with loud music, I have to get up early tomorrow for work and I can't sleep, can you intervene?",low,1,Local police,2025-10-04T15:33:43.793Z
1617,"My grandmother is having a stroke I think, she can't speak properly anymore, one whole side of her face is paralyzed and her left arm is completely limp, she's 82",urgent,3,Fire Department,2025-09-17T11:26:09.155Z
1618,"I haven't been able to sleep for several nights, I wake up often and have trouble falling back asleep, I don't want to take sleeping pills but I'm exhausted",low,1,Local police,2025-09-19T22:26:03.590Z
1619,"I'm 7 months pregnant and I just slipped on the stairs, I fell on my stomach, I have severe lower abdominal pain and I think I'm bleeding a little, I feel the baby isn't moving like before",urgent,3,Fire Department,2025-09-25T08:32:12.456Z
1620,"Just wanted to mention that I tried a new recipe for dinner tonight and it turned out pretty good, the family enjoyed it",none,0,N/A,2025-09-18T01:01:57.913Z
1621,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,On-call doctor,2025-10-06T15:53:04.387Z
1622,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,Fire Department,2025-10-07T14:49:56.760Z
1623,"Hi there, I noticed the flowers in my garden are starting to bloom, spring is definitely here and it looks lovely",none,0,General info,2025-10-07T11:59:31.721Z
1624,"I lost my car keys in the municipal park this afternoon, it's a keychain with several keys and a building badge, I wanted to report it in case someone finds them",low,1,Health hotline,2025-10-07T12:40:43.948Z
1625,"I smell a very strong gas odor throughout my apartment for the past 10 minutes, I opened the windows but it still smells just as strong, I'm afraid it will explode, what should I do?",urgent,3,EMS,2025-10-05T02:21:36.853Z
1626,"My 10-year-old son just cut himself deeply with a kitchen knife, the cut is at least 5 cm on his forearm, it's bleeding a lot, I put a towel on it but the blood is soaking through",urgent,3,Police,2025-10-08T01:26:06.621Z
1627,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,N/A,2025-10-02T08:59:59.939Z
1628,"My 3-year-old son has small red spots on his stomach since this morning, they don't itch him too much but I don't know what it is, could it be contagious?",low,1,Health hotline,2025-10-05T01:27:46.953Z
1629,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,Police,2025-09-19T20:34:34.927Z
1630,"I haven't been able to sleep for several nights, I wake up often and have trouble falling back asleep, I don't want to take sleeping pills but I'm exhausted",low,1,Health hotline,2025-09-11T07:07:51.939Z
1631,"Hi, my daughter got a good grade on her math test today, she studied really hard for it and I'm proud of her",none,0,General info,2025-09-14T05:31:33.426Z
1632,"My wife just gave birth in the car, we didn't have time to get to the hospital, the baby came out but isn't crying, he's all limp and purple, I don't know what to do!",critical,4,Fire Department,2025-10-08T23:48:56.347Z
1633,"There's a violent fight at the bottom of my building, I see from the window that there are at least 5 people fighting with baseball bats, there are already several on the ground not moving",urgent,3,Fire Department,2025-09-30T15:48:06.454Z
1634,"My colleague just had a medical emergency at work, he suddenly fainted during the meeting, he fell backwards and hit his head against the wall, he's not waking up",urgent,3,Police,2025-09-10T18:46:48.211Z
1635,"My mother is having a heart attack, she has severe chest pain, she says she can't feel her left arm, she's in cold sweat and having trouble breathing, she's about to lose consciousness",critical,4,EMS,2025-09-14T04:23:27.325Z
1636,"There's an aggressive stray cat that came into my yard, it's growling and hissing, I'm afraid it might be rabid and my children want to go out and play, I don't know how to make it leave",moderate,2,On-call doctor,2025-09-14T23:18:10.203Z
1637,"I have a small superficial burn from cooking, it's just red without blisters, I put cold water on it, is there anything else I should do?",low,1,Local police,2025-09-29T05:22:04.885Z
1638,"My nose is running and I'm sneezing a lot since this morning, I think I'm starting a cold, what do you recommend I take?",low,1,Local police,2025-09-17T07:19:59.945Z
1639,"I wanted to share that I'm learning to play guitar and I finally managed to play a full song without stopping, it feels great",none,0,Community line,2025-09-29T08:27:35.107Z
1640,"There's a burglary in progress at my neighbor's house, I hear noise and voices, I see shadows with flashlights through the window, I think there are several of them",urgent,3,EMS,2025-10-05T11:41:25.137Z
1641,"I have a tooth that broke while eating, it hurts a lot, I can't close my mouth properly and I feel a piece moving, it's the weekend and my dentist isn't reachable",moderate,2,Fire Department,2025-09-20T20:56:29.184Z
1642,"I've been feeling very tired for a week, I have no energy even after sleeping well, I wonder if I should get blood tests done",low,1,Local police,2025-10-06T14:46:33.455Z
1643,"My husband has had terrible chest pain for 30 minutes, he's sweating a lot, he says it feels like a huge weight on his chest, he's 55 and has a heart condition",urgent,3,Fire Department,2025-09-29T23:08:38.823Z
1644,"I'm 7 months pregnant and I just slipped on the stairs, I fell on my stomach, I have severe lower abdominal pain and I think I'm bleeding a little, I feel the baby isn't moving like before",urgent,3,EMS,2025-10-07T01:40:47.655Z
1645,"Just calling to say I organized my closet this afternoon and found some clothes I forgot I had, it was like shopping in my own home",none,0,N/A,2025-09-17T03:23:52.244Z
1646,"My father was electrocuted while repairing the electrical panel, he fell to the ground and isn't moving, he has burns on his hands and is barely breathing, I don't dare touch him",critical,4,Fire Department,2025-09-26T23:21:23.661Z
1647,"I'm witnessing a serious accident on ring road, a car hit a truck head-on, there's blood everywhere, the driver isn't moving, the windshield is shattered and there's gasoline leaking",critical,4,Fire Department,2025-10-08T06:16:35.588Z
1648,"Hello, I found a really good parking spot at the grocery store today on my first try, which never happens",none,0,N/A,2025-09-29T04:54:09.911Z
1649,"I have a small superficial burn from cooking, it's just red without blisters, I put cold water on it, is there anything else I should do?",low,1,Local police,2025-10-08T03:18:55.568Z
1650,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Health hotline,2025-09-24T14:02:58.643Z
1651,"My grandmother is having a stroke I think, she can't speak properly anymore, one whole side of her face is paralyzed and her left arm is completely limp, she's 82",urgent,3,EMS,2025-09-12T17:31:19.949Z
1652,"I'm calling to say that my neighbor's cat came to visit me this afternoon, she's so friendly and I gave her some treats",none,0,Community line,2025-10-07T08:39:06.742Z
1653,"Hello, the weather has been really nice lately, I've been able to open the windows and let fresh air in",none,0,N/A,2025-09-26T10:50:11.676Z
1654,"I've had back pain since I did gardening yesterday, I can't bend properly, I took an anti-inflammatory but I wanted to know if I should be worried",low,1,Health hotline,2025-09-18T10:01:39.030Z
1655,"I just hit my head hard on an open door, a big bump is forming and I feel a bit nauseous, I didn't lose consciousness but I feel dizzy",moderate,2,Police,2025-09-18T21:58:44.275Z
1656,"My elderly neighbor rang my doorbell completely lost, she doesn't know where she lives or what her name is, she looks disoriented, I think she suffers from dementia, I don't know what to do",moderate,2,Fire Department,2025-09-25T07:00:19.155Z
1657,"This is an absolute emergency! My 4-year-old son just fell into the pool, I pulled him out but he's not breathing, water is coming out of his mouth, I don't know what to do, help me!",critical,4,Fire Department,2025-10-08T00:10:39.375Z
1658,"There's been a very violent argument at my neighbors' for an hour, I hear screaming, objects breaking and the woman crying, I don't know if I should intervene",moderate,2,Fire Department,2025-09-30T00:00:08.183Z
1659,"My daughter has had ear pain since last night, she's pulling on them and crying a bit, I think it might be an ear infection, can I wait until Monday to see the doctor or should I consult now?",low,1,Medical advice,2025-09-19T14:10:01.611Z
1660,"There's a burglary in progress at my neighbor's house, I hear noise and voices, I see shadows with flashlights through the window, I think there are several of them",urgent,3,Police,2025-09-16T13:40:39.069Z
1661,"Hello, the weather has been really nice lately, I've been able to open the windows and let fresh air in",none,0,General info,2025-09-21T11:07:36.123Z
1662,"There's a small fire in the trash bin outside behind my building, it's been burning for 10 minutes but it's contained for now, however there's smoke rising and it could spread",moderate,2,Police,2025-10-08T03:11:29.180Z
1663,"I'm witnessing a serious accident on ring road, a car hit a truck head-on, there's blood everywhere, the driver isn't moving, the windshield is shattered and there's gasoline leaking",critical,4,Fire Department,2025-09-19T16:59:02.534Z
1664,"I burned myself taking a dish out of the oven, blisters are forming on my hand, it's red and hurts a lot, I put it under cold water but I don't know if that's enough",moderate,2,On-call doctor,2025-10-01T20:10:59.551Z
1665,"Just mentioning that I started a new hobby of bird watching, I saw three different species in my backyard this morning",none,0,N/A,2025-10-02T18:34:11.115Z
1666,"I spilled a pot of boiling oil on myself while cooking, I have burns all over my chest and arms, skin is peeling off, I'm in so much pain I can't think straight",critical,4,Police,2025-10-10T14:12:29.487Z
